imdbID,Title,Note
tt7913598,Usedom - Der freie Blick aufs Meer,2018-05-31
tt6296924,Zwei im falschen Film,2018-05-31
tt6270596,Chernovik - The Draft,2018-06-03
tt4881806,Jurassic World: Fallen Kingdom (3D) (IMAX),2018-06-06 | Jurassic World: Das gefallene Königreich (3D) (IMAX)
tt6281148,Looking for Oum Kulthum,2018-06-07 | Auf der Suche nach Oum Kulthum
tt3686990,Camino a la Paz,2018-06-07
tt1653665,Goodbye Christopher Robin,2018-06-07
tt6909664,Mantra - Sounds into Silence,* 2018-06-07
tt7313522,"Prinz und der Dybbuk, Der",2018-06-07
tt8520458,"Sechste Kontinent, Der",* 2018-06-07
tt7410124,Sprechstunde,* 2018-06-07
tt6532374,Swimming with Men (AT),2018-06-07
tt6871410,"Temperatur des Willens, Die",2018-06-07
tt5093990,Wolf and Sheep,2018-06-07
tt6777114,12 Jours,2018-06-14 | 12 Tage
tt6648718,Aus einem Jahr der Nichtereignisse,2018-06-14
tt6462462,"Brio, Le","2018-06-14 | Brillante Mademoiselle Neila, Die"
tt5721088,Just getting started,2018-06-14 | Das ist erst der Anfang
tt7784604,Hereditary,2018-06-14 | Hereditary - Das Vermächtnis
tt4539726,Lost in the Living,2018-06-14
tt6153322,Muhi,2018-06-14
tt1563742,Overboard,2018-06-14
tt6915100,Pope Francis: A Man of his Word,2018-06-14 | Papst Franziskus - Ein Mann seines Wortes
tt8713338,"Borderless Sky, The",2018-06-14 | Sternenjäger - Abenteuer Nachthimmel
tt4827986,"Sense of an Ending, The",2018-06-14 | Vom Ende einer Geschichte
tt5957120,Hotel de grote L,2018-06-21 | Allein unter Schwestern
tt1667321,On Chesil Beach,2018-06-21 | Am Strand
tt6781638,Dolphins,2018-06-21 | Delfine
tt2955304,Halal Daddy,2018-06-21 | Halaleluja - Iren sind menschlich!
tt7106762,Kolyma,2018-06-21
tt6556552,Momo,2018-06-21 | Nicht ohne Eltern
tt5164214,Ocean's 8,2018-06-21
tt6217608,"Rider, The",2018-06-21
tt1285009,The Strangers: Opfernacht,2018-06-21
tt6998408,Nochnaya Smena - Nightshift,* 2018-06-24
tt7454138,Anchors up,2018-06-28 | Elias - Das kleine Rettungsboot
tt7012142,Global Family,2018-06-28
tt5021236,Untitled Greg Berlanti Movie,"2018-06-28 | Love, Simon"
tt5571754,Meine teuflisch gute Freundin,2018-06-28
tt6859344,Brillantissime,2018-06-28 | Meine wunderbare Scheidung
tt3428252,Renegades - Mission of Honor,* 2018-06-28
tt6904262,"Wunderübung, Die",2018-06-28
tt6804732,Flying Revolution - The Story of a lifetime Battle,2018-07-01
tt8621494,Am Ende ist man tot,2018-07-05
tt7264116,Candelaria,2018-07-05 | Candelaria - Ein kubanischer Sommer
tt5843312,"Doppelte Lottchen, Das (2017)",* 2018-07-05
tt6540078,The Child in Time,* 2018-07-05 | Ein Kind zur Zeit - The Child in Time
tt6133466,"First Purge, The",2018-07-05
tt5436228,Woman walks ahead,"2018-07-05 | Frau, die vorausgeht, Die"
tt5619332,Life of the Party,2018-07-05 | How to Party with Mom
tt6838702,Tout le monde debout/Rolling to you (AT),2018-07-05 | Liebe bringt alles ins Rollen
tt5989394,Marvin,* 2018-07-05
tt4095988,Time Trial - David Millars letzte Rennen,2018-07-05
tt4643844,Se Dio vuole,2018-07-05 | Um Gottes Willen
tt0149389,"Wunder von Mals, Das",* 2018-07-05
tt7037544,Zentralflughafen THF,2018-07-05
tt6210160,Auf der Suche nach Ingmar Bergman,2018-07-12
tt6306064,Adrift,"2018-07-12 | Farbe des Horizonts, Die"
tt6896536,Foxtrot,2018-07-12
tt5048814,Lomo - The Language of many Others,2018-07-12
tt7224496,Los Versos del Olvido - Im Labyrinth der Erinnerung,2018-07-12
tt5275884,"Love, Cecil",2018-07-12
tt5812240,"Retour du héros, Le","* 2018-07-12 | Rückkehr des Helden, Die"
tt5758778,Skyscraper (3D),2018-07-12 | Skyscraper (3D)(IMAX)
tt0859635,Super Troopers 2,2018-07-12
tt7807406,Symphony of Now,2018-07-12
tt3409848,Zama,2018-07-12
tt5220122,Hotel Transylvania 3: Summer Vacation,2018-07-16 | Hotel Transsylvanien 3 - Ein Monster Urlaub (auch in 3D)
tt7186092,Nico 1988,2018-07-18
tt5451118,303,2018-07-19
tt8801518,B12 - Gestorben wird im nächsten Leben,2018-07-19
tt4451458,Poesia sin fin,2018-07-19 | Endless Poetry
tt0049213,"Fischerin vom Bodensee, Die",2018-07-19
tt7420292,Könige der Welt,2018-07-19
tt6394432,Landrauschen,2018-07-19
tt6911608,Mamma Mia! Here we go again,2018-07-19 | Mamma Mia! Here we go again (IMAX)
